name,serviceCode,startDate,rateCents
"Customer C-44333","SW-FL-2YD","03/26/2024",13783
"Customer C-43188","SW-COMM-6","11/12/21",15740
"Customer C-38525","SW-FL-4YD","05/08/2019",7350
"Customer C-30354","SW-ROLLOFF-40YD","10/06/2024",58792
"Customer C-07595","LEGACY-CODE","11/21/2020",39808
"Customer C-25033","SW-COMM-2YD","12/19/2019",10591
"Customer C-14525","SW-RO-40YD","2021-09-15",56156
"Customer C-23691","SW-COMM-8","2021-08-10",20990
"Customer C-25966","OLD-SVC-7","26-Jan-20",48111
"Customer C-11227","SW-FL-2YD","12/16/2021",13153
"Customer C-37742","SW-RO-30","23-Oct-21",50544
"Customer C-08024","SW-RO-20","25-Jan-20",43327
"Customer C-30675","SW-RO-10","05-Sep-22",25199
"Customer C-02885","LEGACY-CODE","02/17/2020",19793
"Customer C-40688","SW-RO-30","01/09/22",54739
"Customer C-09442","SW-RO-10YD","02-Jul-19",30826
"Customer C-06397","SW-FL-8YD","24-Apr-21",21231
"Customer C-29726","SW-RES-1-BW","05/18/24",36501
"Customer C-07242","SW-COMM-8","04/06/2024",17413
"Customer C-24588","NOPE-1","16-Aug-21",43691
"Customer C-28622","SW-COMM-XX","02/24/2022",19220
"Customer C-37639","SW-RO-20","2019-11-04",35926
"Customer C-17895","SW-RO-30","10/19/2020",48413
"Customer C-30998","SW-ROLLOFF-20YD","06/06/24",42419
"Customer C-41940","SW-XX-99YD","10/10/2023",47169
"Customer C-21524","SW-ROLLOFF-10YD","10/02/22",27132
"Customer C-35769","SW-RES-1-W","12/28/23",12453
"Customer C-16681","SW-RO-20YD","13-Feb-23",35485
"Customer C-17053","SW-COMM-6YD","01/08/2019",12531
"Customer C-40206","SW-COMM-2","2021-05-02",4070
"Customer C-02320","SW-XX-99YD","13-Apr-22",15959
"Customer C-10967","SW-ROLLOFF-40YD","2021-04-06",55278
"Customer C-37020","SW-COMM-4","24-May-24",16832
"Customer C-27502","SW-COMM-2YD","11/25/2021",7551
"Customer C-05940","SW-COMM-4YD","01/24/21",9329
"Customer C-13083","SW-RO-30","10-Nov-23",54797
"Customer C-24787","SW-RO-10YD","2019-03-27",25905
"Customer C-14904","SW-RES-1-M","2019-08-10",42121
"Customer C-01969","SW-RO-10YD","09/10/2019",33494
"Customer C-29612","SW-COMM-4YD","06/26/2024",13851
"Customer C-31885","SW-COMM-8YD","21-Apr-21",13241
"Customer C-04426","SW-COMM-8","2019-04-28",16162
"Customer C-26980","SW-RO-30","09/22/24",46869
"Customer C-34205","SW-COMM-2","11/20/2019",13190
"Customer C-43866","SW-RO-20","10/15/2024",36333
"Customer C-12792","SW-COMM-8","2023-06-28",19840
"Customer C-34716","SW-RO-10","2023-12-05",26430
"Customer C-28485","SW-RO-10","10-Jul-21",27733
"Customer C-09716","SW-RES-1-M","12/11/2024",14736
"Customer C-05930","SW-ROLLOFF-20YD","21-Jun-19",41813
"Customer C-15303","SW-ROLLOFF-30YD","2019-01-03",47608
"Customer C-24811","SW-RO-40YD","2023-02-12",56936
"Customer C-08227","SW-RES-1-M","08/21/2019",25090
"Customer C-36216","SW-COMM-2","12-Oct-24",8630
"Customer C-22520","SW-ROLLOFF-10YD","02-Nov-20",25105
"Customer C-29734","SW-COMM-2","11/16/21",7128
"Customer C-43802","SW-FL-4YD","06/08/2021",14238
"Customer C-44667","SW-ROLLOFF-10YD","2023-04-27",26688
"Customer C-08877","SW-RO-20","06/10/2024",37031
"Customer C-40174","SW-ROLLOFF-30YD","10-Nov-23",48982
"Customer C-39223","SW-RO-40YD","09/14/24",64662
"Customer C-02103","SW-COMM-2YD","2023-01-23",8620
"Customer C-09939","SW-RO-10","03/09/2022",34779
"Customer C-01136","SW-ROLLOFF-40YD","09/20/22",62254
"Customer C-23153","SW-ROLLOFF-20YD","12/06/23",41657
"Customer C-30473","SW-RES-1-M","2019-06-25",51026
"Customer C-09905","SW-COMM-8","10/07/2023",16482
"Customer C-24196","SW-COMM-4","2019-08-04",14304
"Customer C-00449","SW-RO-40","04/15/22",55461
"Customer C-26939","SW-FL-4YD","01/07/20",9286
"Customer C-13377","SW-FL-6YD","02/06/2019",15365
"Customer C-27930","SW-RO-30YD","02/11/2019",54307
"Customer C-40803","SW-ROLLOFF-20YD","01/11/22",37514
"Customer C-31835","SW-RO-40YD","03/07/2022",64893
"Customer C-44593","SW-COMM-6","04/12/2019",10599
"Customer C-16675","SW-RO-30YD","07/20/22",47124
"Customer C-26545","SW-RO-30YD","2020-04-23",45458
"Customer C-35531","SW-FL-8YD","2020-02-11",15319
"Customer C-19883","SW-ROLLOFF-10YD","02/20/24",26190
"Customer C-02604","SW-COMM-6YD","03/10/20",13700
"Customer C-02141","SW-COMM-4YD","02/13/22",8813
"Customer C-11256","SW-RO-20","2024-12-27",44762
"Customer C-38681","SW-ROLLOFF-40YD","12/04/2019",55034
"Customer C-12981","SW-RO-30YD","22-Feb-21",52554
"Customer C-12323","SW-RO-40","26-Apr-21",57245
"Customer C-12359","SW-RO-10YD","2022-11-11",27813
"Customer C-05148","SW-FL-8YD","05/02/2024",13924
"Customer C-44832","SW-FL-2YD","06-Sep-21",11908
"Customer C-00822","SW-RO-30","2024-10-04",50014
"Customer C-39334","SW-RES-1-M","2020-07-25",6931
"Customer C-07078","SW-COMM-4","06-Jan-24",7646
"Customer C-23182","SW-COMM-4YD","2019-10-18",12338
"Customer C-42965","SW-COMM-2","26-Nov-22",6512
"Customer C-01856","SW-ROLLOFF-10YD","2024-03-13",26887
"Customer C-24493","SW-COMM-6","2022-11-14",18774
"Customer C-38052","SW-RO-20","15-Jun-21",43878
"Customer C-37338","SW-COMM-6YD","2020-10-02",18644
"Customer C-00149","SW-COMM-4YD","10/12/2023",13369
"Customer C-21414","SW-RO-40YD","2022-12-03",57705
"Customer C-04436","SW-ROLLOFF-30YD","10/11/24",49868
"Customer C-05012","SW-COMM-2","12/04/2020",5215
"Customer C-28892","SW-COMM-6YD","01/14/2022",16610
"Customer C-05486","SW-COMM-2","02/22/2019",10285
"Customer C-06277","SW-RO-20YD","13-Feb-23",40728
"Customer C-35957","SW-RO-30YD","11/21/2022",45393
"Customer C-19494","SW-RES-1-M","10/02/2022",19125
"Customer C-33085","SW-COMM-2","02/15/2024",5432
"Customer C-13000","SW-COMM-4","06/09/2021",15882
"Customer C-27101","SW-COMM-6YD","11/11/24",11870
"Customer C-19442","SW-FL-6YD","08-Apr-20",11786
"Customer C-13150","SW-RO-30","16-Feb-19",52379
"Customer C-22928","SW-ROLLOFF-30YD","07/23/20",45975
"Customer C-08209","SW-FL-8YD","03/20/22",19355
"Customer C-23838","SW-COMM-6","12/18/2019",10475
"Customer C-28930","SW-COMM-6YD","08/26/20",10774
"Customer C-27890","SW-COMM-4YD","04-Jul-22",7595
"Customer C-31777","SW-RO-40YD","05/21/2022",59683
"Customer C-19394","SW-FL-6YD","2023-12-16",16580
"Customer C-04910","SW-COMM-2YD","2021-06-17",10223
"Customer C-25119","SW-RO-20","12/01/2023",36556
"Customer C-11773","SW-FL-2YD","21-Oct-24",10127
"Customer C-22196","SW-RO-10YD","03/10/23",29477
"Customer C-33961","SW-XX-99YD","12/10/22",14430
"Customer C-35594","SW-RO-30YD","2019-10-28",49511
"Customer C-18723","SW-RO-20YD","04/12/19",38530
"Customer C-11946","SW-ROLLOFF-30YD","10-May-20",45214
"Customer C-25499","SW-RO-20YD","10/12/22",38287
"Customer C-00898","SW-ROLLOFF-40YD","2019-07-20",59576
"Customer C-19662","SW-ROLLOFF-10YD","10-Jan-19",33254
"Customer C-00447","SW-COMM-4YD","03/17/2020",12028
"Customer C-42138","SW-RO-40","2023-01-16",64163
"Customer C-17287","SW-COMM-8YD","05/17/24",20099
"Customer C-32612","SW-FL-4YD","10/25/2022",14139
"Customer C-40552","SW-COMM-2YD","06/04/2021",11758
"Customer C-39806","LEGACY-CODE","2021-01-28",12245
"Customer C-24172","SW-ROLLOFF-40YD","2020-02-28",58422
"Customer C-11410","SW-FL-8YD","2024-05-15",20216
"Customer C-07176","SW-ROLLOFF-40YD","02-Apr-23",56353
"Customer C-22166","SW-FL-4YD","2024-02-04",16231
"Customer C-37335","SW-COMM-6","2019-01-02",19264
"Customer C-09356","SW-COMM-2YD","07/09/2022",9254
"Customer C-38374","SW-FL-8YD","12/05/2020",21081
"Customer C-17333","SW-FL-2YD","12/03/20",4883
"Customer C-32164","SW-RO-20","2020-01-23",38960
"Customer C-33221","SW-RES-1-M","07/01/24",37803
"Customer C-24961","SW-RO-10YD","05/19/24",28815
"Customer C-20739","SW-RO-20","05/18/2022",37151
"Customer C-36876","SW-COMM-6","13-Apr-20",16737
"Customer C-41147","SW-RES-1-W","2021-08-14",36594
"Customer C-11387","SW-COMM-6YD","12/01/2022",19001
"Customer C-23913","SW-RO-20YD","25-May-23",35645
"Customer C-44842","SW-FL-2YD","2022-12-16",5216
"Customer C-02859","SW-ROLLOFF-20YD","2023-08-05",43189
"Customer C-37622","NOPE-1","2021-07-03",43869
"Customer C-17443","SW-COMM-6","11/06/23",18048
"Customer C-08241","SW-RO-10","12/13/2019",25529
"Customer C-35637","SW-ROLLOFF-30YD","12/08/2023",49403
"Customer C-14011","SW-FL-2YD","09/04/2022",8590
"Customer C-18320","SW-FL-6YD","2020-03-18",11628
"Customer C-33549","SW-FL-2YD","2020-07-28",9636
"Customer C-37168","SW-RO-30","10/13/22",50974
"Customer C-28487","SW-RO-10","08/15/2020",31455
"Customer C-34929","SW-RO-10","13-Dec-22",26983
"Customer C-44538","SW-FL-4YD","01/28/2024",9233
"Customer C-14568","SW-FL-2YD","02/17/2024",4600
"Customer C-25174","SW-ROLLOFF-20YD","2022-03-27",41335
"Customer C-20421","SW-ROLLOFF-20YD","2019-11-02",35708
"Customer C-21593","SW-RO-30","09/17/2024",49744
"Customer C-44234","SW-COMM-XX","12/26/2022",11940
"Customer C-32253","SW-COMM-8","03/04/2019",13980
"Customer C-42739","SW-FL-4YD","03/05/20",7137
"Customer C-31510","SW-RES-1-M","08/18/2021",12576
"Customer C-13895","SW-FL-4YD","08/24/2019",11878
"Customer C-39150","SW-ROLLOFF-10YD","07/01/2022",27860
"Customer C-20150","SW-RO-20YD","08/04/2023",37222
"Customer C-09011","SW-FL-4YD","2024-08-11",14669
"Customer C-40107","SW-RO-10","04/19/2024",31955
"Customer C-01509","SW-RO-10YD","07/22/2021",34987
"Customer C-05007","SW-COMM-2","03/27/20",5691
"Customer C-11120","SW-RO-20YD","10/01/19",39314
"Customer C-12247","SW-COMM-4YD","05/21/2022",12453
"Customer C-13425","SW-RO-20YD","2024-03-07",39242
"Customer C-37691","SW-COMM-6YD","2023-07-06",13963
"Customer C-31575","SW-COMM-6","2021-03-08",11597
"Customer C-40743","SW-RO-10YD","04/16/2024",29813
"Customer C-15244","SW-ROLLOFF-10YD","07/28/23",32840
"Customer C-20898","SW-FL-6YD","05/05/2022",13304
"Customer C-44771","SW-FL-4YD","03/04/2024",16344
"Customer C-40856","SW-ROLLOFF-20YD","2022-06-28",44646
"Customer C-30088","SW-COMM-4","06/19/2023",8825
"Customer C-18864","SW-RO-30YD","2021-05-03",46923
"Customer C-15105","SW-ROLLOFF-30YD","25-Jun-22",48086
"Customer C-27543","SW-FL-4YD","2024-10-04",8021
"Customer C-33564","SW-COMM-6","06/05/2020",15111
"Customer C-30582","SW-RO-20","2024-03-24",38610
"Customer C-07332","SW-RO-10","2021-10-20",28005
"Customer C-06118","SW-COMM-2","10-Feb-19",9755
"Customer C-37812","SW-RES-1-M","11/28/2022",15547
"Customer C-03619","SW-RO-40YD","11/14/2021",61694
"Customer C-01967","SW-FL-6YD","01/01/2021",18950
"Customer C-22915","OLD-SVC-7","07/13/2020",13262
"Customer C-12062","SW-RO-30YD","03/07/2019",53726
"Customer C-28701","SW-FL-2YD","11/01/2024",4092
"Customer C-42277","SW-XX-99YD","12/02/24",7716
"Customer C-37498","SW-COMM-8","2019-09-25",22451
"Customer C-31515","SW-ROLLOFF-30YD","07/08/22",45739
"Customer C-24752","SW-RO-40","28-Feb-21",60359
"Customer C-20002","SW-RO-20YD","10/17/2022",35516
"Customer C-12345","SW-COMM-XX","21-Oct-24",54221
"Customer C-32213","SW-COMM-6YD","02/06/24",15749
"Customer C-37059","SW-RES-1-BW","2023-07-17",4709
"Customer C-17303","SW-ROLLOFF-30YD","2024-05-16",48424
"Customer C-10481","SW-ROLLOFF-30YD","09/04/19",53619
"Customer C-20980","SW-FL-8YD","24-Sep-21",15109
"Customer C-24783","SW-RES-1-BW","08-Oct-19",35632
"Customer C-32975","SW-ROLLOFF-10YD","11/03/24",29146
"Customer C-01365","SW-RES-1-M","21-Jul-19",64719
"Customer C-10825","SW-RO-40YD","01/13/19",64613
"Customer C-14066","SW-ROLLOFF-20YD","06/02/2022",37164
"Customer C-11380","SW-RO-20YD","03/19/23",39222
"Customer C-26067","SW-RO-10YD","2024-06-22",32728
"Customer C-35997","NOPE-1","01/24/2022",12091
"Customer C-14752","SW-FL-6YD","2022-05-21",14589
"Customer C-39974","SW-FL-8YD","20-Nov-20",16171
"Customer C-34374","SW-COMM-XX","2024-03-20",28048
"Customer C-33086","SW-RO-20YD","05-Jul-21",39767
"Customer C-37637","SW-COMM-2","11/20/20",10188
"Customer C-39399","SW-RO-10YD","21-May-23",30753
"Customer C-37418","SW-RO-10","2022-12-01",32363
"Customer C-07621","SW-RO-20YD","2022-12-06",39730
"Customer C-00718","SW-RES-1-BW","21-Apr-22",11480
"Customer C-27607","SW-FL-4YD","2020-06-22",14373
"Customer C-43507","SW-COMM-2","27-Aug-22",12366
"Customer C-31218","SW-RO-10","01/10/2019",29707
"Customer C-42953","SW-RO-20","05/22/21",43837
"Customer C-31495","NOPE-1","02/24/2022",9700
"Customer C-09523","SW-RES-1-M","02/02/19",16802
"Customer C-43874","SW-RO-20YD","04-May-19",36974
"Customer C-30386","SW-COMM-4","20-Jun-21",16530
"Customer C-29005","SW-COMM-2YD","02-Aug-20",8070
"Customer C-20449","SW-RO-20","11/09/2021",40795
"Customer C-22937","SW-RO-20YD","05-Dec-22",36005
"Customer C-06856","SW-RO-20YD","07/02/21",35274
"Customer C-05802","SW-FL-8YD","10/18/2020",20828
"Customer C-23426","SW-RO-10","2021-01-09",34425
"Customer C-01469","SW-RO-30","12-Jun-23",52244
"Customer C-31742","SW-RO-40","2022-05-17",60085
"Customer C-28665","SW-COMM-6YD","05/24/2024",14536
"Customer C-01555","SW-COMM-6","2022-03-25",18575
"Customer C-24859","SW-COMM-2","10-Jun-23",7892
"Customer C-16057","SW-COMM-4YD","2024-12-23",15555
"Customer C-31526","SW-ROLLOFF-10YD","01/02/2024",28888
"Customer C-25090","SW-COMM-2","11/27/20",5250
"Customer C-09989","SW-ROLLOFF-10YD","12/03/2021",34659
"Customer C-19578","SW-FL-4YD","2024-01-26",15804
"Customer C-25992","SW-COMM-6YD","2024-01-18",14071
"Customer C-14174","SW-RES-1-BW","16-Feb-23",9266
"Customer C-23873","SW-RES-1-M","08/19/2024",15703
"Customer C-19994","SW-COMM-4YD","08/09/20",14189
"Customer C-31414","SW-ROLLOFF-10YD","2019-12-12",30153
"Customer C-26254","SW-COMM-8YD","2023-08-09",15969
"Customer C-25458","SW-ROLLOFF-20YD","2021-08-02",40340
"Customer C-02132","SW-RO-10YD","04/28/23",32874
"Customer C-28185","SW-ROLLOFF-20YD","07/20/2020",39064
"Customer C-26423","SW-COMM-8","06/25/19",20726
"Customer C-02347","SW-RES-1-BW","11/02/24",29377
"Customer C-28014","SW-FL-4YD","01/20/2024",13452
"Customer C-19482","SW-ROLLOFF-40YD","02/03/2022",61925
"Customer C-25796","SW-COMM-2YD","05/01/19",11899
"Customer C-07217","SW-RES-1-W","09/21/2023",57798
"Customer C-26783","SW-RO-20YD","08/01/2022",38041
"Customer C-08454","SW-RO-30","06/22/2021",53149
"Customer C-14550","SW-COMM-4YD","09/26/24",7316
"Customer C-37283","SW-FL-8YD","2019-11-05",22867
"Customer C-00116","SW-RO-30YD","2022-07-01",46853
"Customer C-34061","SW-RO-40YD","08/28/23",58247
"Customer C-34068","SW-FL-6YD","04/18/2023",13087
"Customer C-43822","SW-RO-40","23-Mar-23",58844
"Customer C-08897","SW-RES-1-BW","2019-07-08",63338
"Customer C-32296","SW-RO-30","08-Dec-21",53207
"Customer C-10896","SW-RO-40","2020-05-19",60068
"Customer C-41878","SW-RO-20YD","07/20/2020",35866
"Customer C-11836","SW-RO-40YD","04/26/2023",60649
"Customer C-08333","SW-ROLLOFF-20YD","2024-07-07",37936
"Customer C-01291","SW-RO-30","12/06/2021",50613
"Customer C-44466","SW-RO-10","05/25/2021",28543
"Customer C-24433","SW-RES-1-M","10/21/2022",52562
"Customer C-15106","SW-COMM-2","2022-01-11",11523
"Customer C-30912","SW-ROLLOFF-40YD","2021-06-26",64233
"Customer C-28193","SW-COMM-6YD","2019-07-08",16216
"Customer C-37645","SW-FL-6YD","22-Oct-24",10301
"Customer C-23799","SW-RO-30","2021-05-24",45272
"Customer C-20005","SW-COMM-8YD","2022-02-12",16825
"Customer C-31992","SW-FL-8YD","03/05/2021",22300
"Customer C-26190","SW-RO-40YD","18-Dec-24",62305
"Customer C-31090","SW-RO-20","12/27/22",43016
"Customer C-38284","SW-RO-30","11/10/23",54463
"Customer C-21023","SW-RO-10","05/24/19",29782
"Customer C-27628","SW-FL-2YD","01-Mar-21",12375
"Customer C-41956","OLD-SVC-7","2019-07-23",64468
"Customer C-44579","SW-RO-40","2024-02-09",58018
"Customer C-12448","SW-COMM-4","26-Apr-20",9739
"Customer C-38936","SW-RO-20","12/09/2019",39456
"Customer C-11767","SW-COMM-6YD","10/18/24",14170
"Customer C-05668","SW-RES-1-W","02-Mar-20",17726
"Customer C-01543","SW-RO-30YD","07-May-22",53035
"Customer C-17875","SW-FL-2YD","11/08/21",9793
"Customer C-38889","SW-RO-40","24-Dec-22",64638
"Customer C-20873","LEGACY-CODE","06/13/2021",7859
"Customer C-33627","SW-ROLLOFF-30YD","2023-01-16",46217
"Customer C-04197","SW-ROLLOFF-40YD","2024-01-10",63350
"Customer C-44099","SW-RO-40YD","2022-04-22",56808
"Customer C-14780","SW-RO-10","2021-03-20",34811
"Customer C-13493","SW-COMM-6","2022-05-25",16862
"Customer C-00176","SW-RES-1-W","07/23/2022",61714
"Customer C-21335","SW-RO-40","09/23/2021",56700
"Customer C-32798","SW-COMM-8YD","06-Dec-21",13326
"Customer C-05990","SW-COMM-4YD","2019-03-24",7943
"Customer C-07578","SW-ROLLOFF-20YD","08/18/2022",37264
"Customer C-16995","SW-RO-30YD","2022-06-16",53969
"Customer C-25341","SW-RO-40YD","01/04/2019",60114
"Customer C-02586","SW-RES-1-BW","10-Oct-19",9275
"Customer C-17224","SW-RO-10","04/23/20",25379
"Customer C-25890","SW-RO-30","17-Aug-20",50627
"Customer C-04859","SW-RO-40YD","02/16/21",58820
"Customer C-37992","SW-XX-99YD","01/06/23",49413
"Customer C-39564","SW-COMM-8YD","10/06/23",15645
"Customer C-25574","SW-RES-1-BW","08/02/21",50407
"Customer C-28426","SW-COMM-4YD","08/02/21",7307
"Customer C-25753","SW-COMM-4YD","01/24/22",12156
"Customer C-05649","SW-COMM-6YD","10/28/21",16690
"Customer C-39542","SW-COMM-8YD","2019-04-23",16902
"Customer C-25708","SW-COMM-2YD","02-Oct-20",6297
"Customer C-41586","SW-ROLLOFF-20YD","04/09/19",37232
"Customer C-39720","OLD-SVC-7","07-Aug-24",47986
"Customer C-42535","SW-ROLLOFF-20YD","2021-03-19",35294
"Customer C-31971","SW-FL-2YD","01/08/2020",7101
"Customer C-13904","SW-COMM-8","04/23/2024",18661
"Customer C-18469","SW-RO-10","2022-09-16",25865
"Customer C-30510","SW-RO-30YD","02/10/2023",54550
"Customer C-27445","SW-RO-10YD","07/27/20",33156
"Customer C-23349","SW-COMM-4","04/03/2024",7091
"Customer C-34248","OLD-SVC-7","04-Aug-24",59921
"Customer C-18562","SW-RO-10YD","03/27/21",30793
"Customer C-23615","SW-RO-10","08/16/2023",30194
"Customer C-36845","SW-COMM-XX","06/23/22",9655
"Customer C-36589","SW-RO-30YD","03/23/2023",47943
"Customer C-21730","SW-COMM-2","2023-03-24",7060
"Customer C-33659","SW-FL-2YD","05/14/2022",6760
"Customer C-30744","SW-FL-2YD","09/07/21",7764
"Customer C-05223","SW-RO-10YD","08/15/21",29275
"Customer C-09106","SW-ROLLOFF-20YD","2023-03-10",39222
"Customer C-11516","SW-FL-2YD","06/24/2022",11451
"Customer C-13647","SW-COMM-4","09/16/21",12231
"Customer C-42295","SW-COMM-6YD","02/01/23",16328
"Customer C-14727","SW-RO-10","2019-08-26",31629
"Customer C-10853","SW-COMM-2","11/12/23",10149
"Customer C-37109","SW-RO-30","11/01/2019",53253
"Customer C-04413","SW-RO-20YD","11/11/2021",41326
"Customer C-15099","SW-COMM-8","05/02/2019",18650
"Customer C-29879","SW-RO-20","03/21/19",36276
"Customer C-44058","SW-RO-30YD","2023-01-09",54148
"Customer C-26754","SW-COMM-2","2024-01-06",12431
"Customer C-01825","SW-RO-30YD","28-Sep-24",45965
"Customer C-18905","SW-RES-1-W","2021-01-10",14933
"Customer C-23763","SW-COMM-6YD","13-Dec-20",18831
"Customer C-02563","SW-RO-40","25-Sep-22",56144
"Customer C-31571","NOPE-1","12/23/2024",42452
"Customer C-12599","SW-COMM-8","11/06/2022",13949
"Customer C-33148","SW-RO-20YD","04/23/2019",35093
"Customer C-09343","SW-COMM-4","10/14/22",16775
"Customer C-37295","SW-RES-1-BW","05/19/2023",43048
"Customer C-36881","SW-FL-6YD","06/25/24",17347
"Customer C-09396","SW-ROLLOFF-30YD","10/10/2022",50902
"Customer C-16155","SW-COMM-4","10/12/2022",15572
"Customer C-40389","SW-COMM-8","12/19/2020",21525
"Customer C-19471","SW-RO-40","2021-10-13",62639
"Customer C-10322","SW-COMM-2","12/26/19",12002
"Customer C-35443","SW-RO-40YD","05/15/2020",61256
"Customer C-34296","SW-ROLLOFF-10YD","04/26/2024",30564
"Customer C-42177","SW-ROLLOFF-30YD","2019-09-04",54594
"Customer C-27112","SW-FL-8YD","2022-05-04",21805
"Customer C-14439","SW-FL-4YD","06/03/2024",10412
"Customer C-36130","SW-FL-4YD","02/07/24",14388
"Customer C-14887","SW-COMM-6YD","08-Feb-22",17174
"Customer C-09786","SW-ROLLOFF-20YD","2019-01-01",40378
"Customer C-11509","SW-COMM-2","2022-07-13",13952
"Customer C-17557","SW-RO-10","04/02/19",29436
"Customer C-42672","SW-ROLLOFF-10YD","10/12/2021",32626
"Customer C-07040","SW-COMM-6","08/26/2020",12788
"Customer C-05797","SW-FL-8YD","17-Sep-23",16080
"Customer C-01980","SW-COMM-2YD","09-Jan-20",13976
"Customer C-02269","SW-COMM-8YD","03/06/2023",16180
"Customer C-00372","SW-FL-8YD","07/28/19",22452
"Customer C-43771","SW-COMM-6YD","07/09/2019",16240
"Customer C-03754","SW-RES-1-BW","04-Aug-22",35371
"Customer C-24151","SW-RES-1-M","11-Nov-24",33144
"Customer C-13099","SW-COMM-4YD","2023-03-02",8868
"Customer C-05954","SW-COMM-8YD","02/08/2020",22095
"Customer C-28548","SW-RO-10YD","2023-03-19",30701
"Customer C-42195","SW-XX-99YD","04-Dec-20",54634
"Customer C-44494","SW-COMM-2YD","2019-09-25",13149
"Customer C-03938","SW-RES-1-BW","2022-01-23",5979
"Customer C-37358","SW-ROLLOFF-10YD","2022-07-15",30779
"Customer C-32943","SW-RO-10YD","2021-04-18",33193
"Customer C-37695","SW-FL-8YD","04/07/2020",13362
"Customer C-17617","SW-FL-8YD","05-Jul-24",20619
"Customer C-31635","SW-ROLLOFF-20YD","2022-05-25",43362
"Customer C-10111","SW-FL-8YD","06-Nov-21",13843
"Customer C-02037","SW-FL-2YD","06/10/24",12456
"Customer C-40400","SW-FL-6YD","08-Aug-19",16416
"Customer C-11784","SW-RO-40","2020-09-26",55980
"Customer C-18879","SW-RO-40","2023-09-12",64019
"Customer C-26323","SW-ROLLOFF-10YD","09/25/2021",31239
"Customer C-32998","SW-FL-8YD","09/16/2020",13171
